State Name,Block Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,District Name
TAMIL NADU,ANDIMADAM,30425,29627,4898,173,24556,27648,36178,27648,36176,ARIYALUR
TAMIL NADU,ARIYALUR,23318,23310,4359,80,18871,20547,31770,20547,31768,ARIYALUR
TAMIL NADU,JAYAMKONDAM,35821,35675,6941,701,28033,30558,49993,30558,49993,ARIYALUR
TAMIL NADU,SENDURAI,36900,35608,7969,202,27437,29794,34672,29750,34615,ARIYALUR
TAMIL NADU,T.PALUR,30423,30408,7379,288,22741,27340,36282,27339,36281,ARIYALUR
TAMIL NADU,THIRUMANUR,25846,25471,5791,128,19552,22452,30825,22430,30800,ARIYALUR
TAMIL NADU,ANNAGRAMAM,32930,32852,10182,71,22599,25993,47191,25982,47119,CUDDALORE
TAMIL NADU,CUDDALORE,46704,46649,15903,35,30711,37436,59541,37418,59511,CUDDALORE
TAMIL NADU,KAMMAPURAM,41974,41971,9711,367,31893,37462,76989,37444,76939,CUDDALORE
TAMIL NADU,KATTUMANNAR KOIL,26210,26207,12968,185,13054,24854,49005,24849,48996,CUDDALORE
TAMIL NADU,KEERAPALAYAM,32686,32685,14675,135,17875,29694,51321,29694,51321,CUDDALORE
TAMIL NADU,KUMARATCHI,27231,27220,14693,183,12344,24488,43044,24488,43044,CUDDALORE
TAMIL NADU,KURINJIPADI,46220,45880,11729,74,34077,35299,65221,35294,65210,CUDDALORE
TAMIL NADU,MANGALUR,37809,37766,15615,23,22128,31817,54920,31817,54918,CUDDALORE
TAMIL NADU,MELBHUVANAGIRI,22726,22709,8862,116,13731,21607,47039,21607,47038,CUDDALORE
TAMIL NADU,NALLUR,35103,35055,13968,117,20970,32080,65738,32080,65734,CUDDALORE
TAMIL NADU,PANRUTI,41851,41637,8575,100,32962,29580,41307,29578,41302,CUDDALORE
TAMIL NADU,PARANGIPETTAI,21844,21844,7991,270,13583,20435,41642,20430,41616,CUDDALORE
TAMIL NADU,VRIDHACHALAM,28217,28213,9031,319,18863,25073,50950,25073,50941,CUDDALORE
TAMIL NADU,DHARMAPURI,36257,36188,3392,264,32532,22106,22626,22091,,
TAMIL NADU,HARUR,37284,37125,14842,3402,18881,32859,32859,32859,,
TAMIL NADU,KARIMANGALAM,26503,26375,2485,76,23814,20211,24033,20211,,
TAMIL NADU,MORAPPUR,45578,42439,8533,507,33399,32452,35143,32411,,
TAMIL NADU,NALLAMPALLI,31203,31180,2657,103,28420,17026,19311,17022,,
TAMIL NADU,PALACODE,27326,27325,2068,255,25002,18816,21241,18814,,
TAMIL NADU,PAPPIREDDIPATTI,20726,19916,5001,5570,9345,13568,13658,13558,,
